258	OPEN	Improve scriptability		2020-10-09 03:10:26 +0000 UTC
249	OPEN	[Feature] Ability to import GitLab and Bitbucket repos to GitLab	Feature, good first issue, help wanted	2020-10-04 11:14:32 +0000 UTC
233	OPEN	Add `glab login` command	Feature, good first issue, help wanted	2020-10-03 23:45:28 +0000 UTC
225	OPEN	`glab pipeline ci view` command crashes on branch with child pipelines	bug	2020-09-18 09:35:16 +0000 UTC
205	OPEN	Debian packaging discussions		2020-09-06 15:17:57 +0000 UTC
177	OPEN	Acknowledge glab contributors		2020-10-03 22:27:11 +0000 UTC
106	OPEN	Color is not reset on mr list if last branch is ellipsed	bug	2020-10-09 03:13:35 +0000 UTC
103	OPEN	Enable windows executables to be distributed via Winget		2020-10-02 02:49:29 +0000 UTC
80	OPEN	Gui based merge request review	Feature, good first issue, help wanted	2020-10-02 02:49:29 +0000 UTC
79	OPEN	glab mr diff	Feature, good first issue, help wanted	2020-10-03 23:46:00 +0000 UTC
62	OPEN	Multiple binaries in release archive		2020-08-06 10:16:36 +0000 UTC
42	OPEN	Ability to get user contribution events	Feature, good first issue, help wanted	2020-08-05 05:33:44 +0000 UTC
